isbn,title
9787532766635,不能承受的生命之轻 [专著] = L’insoutenable legerete de l’etre / 米兰·昆德拉(Milan Kundera)著 ; 许钧译
9787533941840,忏悔录 [专著] / (俄)列夫·托尔斯泰著 ; 崔建华译
9787115301215,征服C指针 [专著] / (日)前桥和弥著 ; 吴雅明译
9787115427861,Vim实用技巧 [专著] = Practical Vim edit text at the speed of thought / (英)Drew Neil著 ; 杨源，车文隆译
9787501256273,英语文摘. 2018年1~12期合订本 [专著] / 穆媛主编
9787569900200,恰到好处的孤独 [专著] / 麦子奇著
9787559438881,罪与罚 [专著] / (俄)陀思妥耶夫斯基著 ; 曾思艺译
9787115360656,"计算机程序设计艺术. 卷3, 排序与查找 [专著] : 第2版 = The art of computer programming. Vol 3, Sorting and searching third edition / (美)高德纳(Donald E. Knuth)著 ; 贾洪峰译"
9787501592401,老人与海 [专著] = The old man and the sea : 全英文版 / Ernest Hemingway[著]
9787302423287,机器学习 [专著] = Machine learning / 周志华著
9787115373557,数学之美 [专著] = Beauty of mathematics / 吴军著
9787115279460,C++ Primer Plus(第6版)中文版 [专著] = C++ Primer Plus sixth edition / (美)Stephen Prata著 ; 张海龙，袁国忠译
